Higher Topic,Focus Area Code,Focus Area name,Content
Aeronautics Research,Topic E2,Aeronautics Research Mission Directorate Select Subtopics,
Science,Topic E3,Science Mission Directorate Select Subtopics,
Human Exploration and Operations,Topic E1,Human Exploration and Operations Mission Directorate Select Subtopics,
