Focus Area Code,Subtopic code,Subtopic name
TA6.1,H20.01,Solid and Liquid Waste Management for Human Spacecraft
TA8.1,S20.01; S20.02,Novel Spectroscopy Technology and Instrumentation; Advanced Technology Telescope for Balloon and Sub-Orbital Missions
