Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Aeronautics Research,Topic E2 Aeronautics Research Mission Directorate Select Subtopics,,E2.01Air Traffic Management Research and Development,E2.01,Air Traffic Management Research and Development
Science,Topic E3 Science Mission Directorate Select Subtopics,,E3.01Laser Transmitters and Receivers for Targeted Earth Science Measurements; E3.02Advanced Technology Telescope for Balloon Mission; E3.03Extreme Environments Technology,E3.01; E3.02; E3.03,Laser Transmitters and Receivers for Targeted Earth Science Measurements; Advanced Technology Telescope for Balloon Mission; Extreme Environments Technology
Human Exploration and Operations,Topic E1 Human Exploration and Operations Mission Directorate Select Subtopics,,E1.01High Power Electric Propulsion Systems; E1.02Nano/Micro Satellite Launch Vehicle Technology; E1.03International Space Station Utilization,E1.01; E1.02; E1.03,High Power Electric Propulsion Systems; Nano/Micro Satellite Launch Vehicle Technology; International Space Station Utilization
