Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3 Manipulation,,H20.01Human-Robotic Systems - Manipulation Subsystem and Human-System Interaction,H20.01,Human-Robotic Systems - Manipulation Subsystem and Human-System Interaction
"TA6 Human Health, Life Support and Habitation Systems",TA6.1 Environmental Control Life Support & Habitation Systems,,H20.02International Space Station (ISS) Demonstration and Development of Improved Exploration Technologies,H20.02,International Space Station (ISS) Demonstration and Development of Improved Exploration Technologies
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1 Science Instruments,,S20.01Array Technologies for Microwave Remote Sensing; S20.02Novel Spectroscopy Technology and Instrumentation; S20.03Radiation Hardened Application Specific Integrated Circuit (ASIC) Platforms,S20.01; S20.02; S20.03,Array Technologies for Microwave Remote Sensing; Novel Spectroscopy Technology and Instrumentation; Radiation Hardened Application Specific Integrated Circuit (ASIC) Platforms
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.5 Cross-Cutting,,Z20.01Deep Space Cubesat Technology,Z20.01,Deep Space Cubesat Technology
TA15 Aeronautics,TA15.1 Additional Subtopics,,A20.01Air Traffic Management Research and Development,A20.01,Air Traffic Management Research and Development
