Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
"TA6 Human Health, Life Support and Habitation Systems",TA6.1 Environmental Control Life Support & Habitation Systems,,H20.01Solid and Liquid Waste Management for Human Spacecraft,H20.01,Solid and Liquid Waste Management for Human Spacecraft
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1 Science Instruments,,S20.01Novel Spectroscopy Technology and Instrumentation; S20.02Advanced Technology Telescope for Balloon and Sub-Orbital Missions,S20.01; S20.02,Novel Spectroscopy Technology and Instrumentation; Advanced Technology Telescope for Balloon and Sub-Orbital Missions
