Focus Area Code,Subtopic code,Subtopic name
TA4.3,H20.01,Human-Robotic Systems - Manipulation Subsystem and Human-System Interaction
TA6.1,H20.02,International Space Station (ISS) Demonstration and Development of Improved Exploration Technologies
TA8.1,S20.01; S20.02; S20.03,Array Technologies for Microwave Remote Sensing; Novel Spectroscopy Technology and Instrumentation; Radiation Hardened Application Specific Integrated Circuit (ASIC) Platforms
TA12.5,Z20.01,Deep Space Cubesat Technology
TA15.1,A20.01,Air Traffic Management Research and Development
